a,b
-10.0,334.9919128417969
-9.9,332.68377685546875
-9.8,330.3412780761719
-9.7,327.9653625488281
-9.6,325.55096435546875
-9.5,323.09967041015625
-9.4,320.6116638183594
-9.3,318.08087158203125
-9.2,315.5068054199219
-9.1,312.8851318359375
-9.0,310.2262878417969
-8.9,307.530517578125
-8.8,304.7950439453125
-8.7,302.022216796875
-8.6,299.217529296875
-8.5,296.3759460449219
-8.4,293.49761962890625
-8.3,290.5940246582031
-8.2,287.6672668457031
-8.1,284.7156677246094
-8.0,281.7264099121094
-7.9,278.7020568847656
-7.8,275.6568603515625
-7.7,272.6015930175781
-7.6,269.5290222167969
-7.5,266.43206787109375
-7.4,263.3052062988281
-7.3,260.13568115234375
-7.2,256.92303466796875
-7.1,253.67892456054688
-7.0,250.41587829589844
-6.9,247.13311767578125
-6.8,243.82028198242188
-6.7,240.4760284423828
-6.6,237.10629272460938
-6.5,233.71107482910156
-6.4,230.29330444335938
-6.3,226.85189819335938
-6.2,223.38259887695312
-6.1,219.88233947753906
-6.0,216.3580322265625
-5.9,212.82049560546875
-5.8,209.26417541503906
-5.7,205.6818389892578
-5.6,202.08224487304688
-5.5,198.4781036376953
-5.4,194.852783203125
-5.3,191.2059326171875
-5.2,187.53492736816406
-5.1,183.84658813476562
-5.0,180.16525268554688
-4.95,178.32774353027344
-4.9,176.48898315429688
-4.85,174.65072631835938
-4.8,172.81385803222656
-4.75,170.9801788330078
-4.7,169.1485595703125
-4.65,167.32423400878906
-4.6,165.5046844482422
-4.55,163.6911163330078
-4.5,161.8816680908203
-4.45,160.07501220703125
-4.4,158.2739715576172
-4.35,156.4762725830078
-4.3,154.68455505371094
-4.25,152.8957977294922
-4.2,151.11349487304688
-4.15,149.33511352539062
-4.1,147.564697265625
-4.05,145.80218505859375
-4.0,144.05335998535156
-3.95,142.32061767578125
-3.9,140.6103057861328
-3.85,138.88848876953125
-3.8,137.17591857910156
-3.75,135.4751434326172
-3.7,133.78565979003906
-3.65,132.10787963867188
-3.6,130.4451904296875
-3.55,128.78790283203125
-3.5,127.15396881103516
-3.45,125.47122192382812
-3.4,123.7972412109375
-3.35,122.13765716552734
-3.3,120.49465942382812
-3.25,118.868408203125
-3.2,117.26812744140625
-3.15,115.69219970703125
-3.1,114.0951156616211
-3.05,112.49676513671875
-3.0,110.9192123413086
-2.95,109.35729217529297
-2.9,107.81661224365234
-2.85,106.29537200927734
-2.8,104.7925033569336
-2.75,103.30574798583984
-2.7,101.83493041992188
-2.65,100.38148498535156
-2.6,98.94186401367188
-2.55,97.51690673828125
-2.5,96.11151123046875
-2.45,94.72595977783203
-2.4,93.35742950439453
-2.35,92.00064849853516
-2.3,90.6596450805664
-2.25,89.33106231689453
-2.2,88.01963806152344
-2.15,86.72990417480469
-2.1,85.4602279663086
-2.05,84.21205139160156
-2.0,82.98565673828125
-1.95,81.77896881103516
-1.9,80.59014892578125
-1.85,79.41829681396484
-1.8,78.266845703125
-1.75,77.1363296508789
-1.7,76.0270004272461
-1.65,74.93898010253906
-1.6,73.87261962890625
-1.55,72.82941436767578
-1.5,71.80708312988281
-1.45,70.80216979980469
-1.4,69.81842041015625
-1.35,68.8593521118164
-1.3,67.92305755615234
-1.25,67.01422119140625
-1.2,66.13545227050781
-1.15,65.28811645507812
-1.1,64.47937774658203
-1.05,63.70742416381836
-1.0,62.957698822021484
-0.95,62.235511779785156
-0.9,61.541587829589844
-0.85,60.874874114990234
-0.8,60.23286056518555
-0.75,59.620147705078125
-0.7,59.0573616027832
-0.65,58.53057098388672
-0.6,58.0478515625
-0.55,57.594661712646484
-0.5,57.1714973449707
-0.49,57.09062194824219
-0.48,57.01120376586914
-0.47,56.93342590332031
-0.46,56.85671615600586
-0.45,56.78182601928711
-0.44,56.708717346191406
-0.43,56.63736343383789
-0.42,56.56745147705078
-0.41,56.49922180175781
-0.4,56.43285369873047
-0.39,56.36814498901367
-0.38,56.30509567260742
-0.37,56.24384689331055
-0.36,56.1840705871582
-0.35,56.12539291381836
-0.34,56.06817626953125
-0.33,56.01251983642578
-0.32,55.958065032958984
-0.31,55.90520477294922
-0.3,55.85395431518555
-0.29,55.804508209228516
-0.28,55.75723648071289
-0.27,55.71188735961914
-0.26,55.668701171875
-0.25,55.627464294433594
-0.24,55.58817672729492
-0.23,55.550601959228516
-0.22,55.51481246948242
-0.21,55.48063278198242
-0.2,55.448177337646484
-0.19,55.417686462402344
-0.18,55.389278411865234
-0.17,55.363243103027344
-0.16,55.33894729614258
-0.15,55.316402435302734
-0.14,55.29563522338867
-0.13,55.27669906616211
-0.12,55.259822845458984
-0.11,55.24500274658203
-0.1,55.23196792602539
-0.095,55.22599411010742
-0.09,55.2205810546875
-0.085,55.21577835083008
-0.08,55.21154022216797
-0.075,55.20791244506836
-0.07,55.204769134521484
-0.065,55.20212173461914
-0.06,55.200008392333984
-0.055,55.19841766357422
-0.05,55.19732666015625
-0.045,55.19647979736328
-0.04,55.19609451293945
-0.035,55.196353912353516
-0.03,55.19721603393555
-0.025,55.198577880859375
-0.02,55.20054626464844
-0.015,55.20318603515625
-0.01,55.206504821777344
-0.005,55.21044921875
-0.0,55.21478271484375
0.0,55.21478271484375
0.005,55.2196044921875
0.01,55.224769592285156
0.015,55.23041534423828
0.02,55.23695755004883
0.025,55.2438850402832
0.03,55.25129699707031
0.035,55.25934982299805
0.04,55.26787185668945
0.045,55.27714538574219
0.05,55.28725051879883
0.055,55.29786682128906
0.06,55.308982849121094
0.065,55.32069396972656
0.07,55.33294677734375
0.075,55.34574890136719
0.08,55.359031677246094
0.085,55.37282180786133
0.09,55.387237548828125
0.095,55.40213394165039
0.1,55.417320251464844
0.11,55.448951721191406
0.12,55.48438262939453
0.13,55.522342681884766
0.14,55.56254196166992
0.15,55.604248046875
0.16,55.64744186401367
0.17,55.69231414794922
0.18,55.738800048828125
0.19,55.78738784790039
0.2,55.838035583496094
0.21,55.891056060791016
0.22,55.94630813598633
0.23,56.00361633300781
0.24,56.06254196166992
0.25,56.12360763549805
0.26,56.186988830566406
0.27,56.25245666503906
0.28,56.319786071777344
0.29,56.38880157470703
0.3,56.45941162109375
0.31,56.53150177001953
0.32,56.605499267578125
0.33,56.68132781982422
0.34,56.75885772705078
0.35,56.8369140625
0.36,56.91650390625
0.37,56.99750518798828
0.38,57.08170700073242
0.39,57.16923904418945
0.4,57.25879669189453
0.41,57.34987258911133
0.42,57.44257354736328
0.43,57.536861419677734
0.44,57.6324348449707
0.45,57.72968673706055
0.46,57.82850646972656
0.47,57.9288330078125
0.48,58.03080368041992
0.49,58.134559631347656
0.5,58.23988342285156
0.55,58.78050231933594
0.6,59.35028076171875
0.65,59.9496955871582
0.7,60.573028564453125
0.75,61.22011184692383
0.8,61.89816665649414
0.85,62.60852813720703
0.9,63.34803771972656
0.95,64.11402130126953
1.0,64.90425872802734
1.05,65.7149658203125
1.1,66.54475402832031
1.15,67.39667510986328
1.2,68.27351379394531
1.25,69.17118835449219
1.3,70.09196472167969
1.35,71.04034423828125
1.4,72.0099105834961
1.45,73.00076293945312
1.5,74.02244567871094
1.55,75.07807159423828
1.6,76.15772247314453
1.65,77.26087951660156
1.7,78.38237762451172
1.75,79.51692962646484
1.8,80.66665649414062
1.85,81.8324203491211
1.9,83.01007080078125
1.95,84.19347381591797
2.0,85.38689422607422
2.05,86.59626007080078
2.1,87.81471252441406
2.15,89.05935668945312
2.2,90.32662963867188
2.25,91.61482238769531
2.3,92.91437530517578
2.35,94.218994140625
2.4,95.54225158691406
2.45,96.8880615234375
2.5,98.25538635253906
2.55,99.6455078125
2.6,101.05055236816406
2.65,102.47003936767578
2.7,103.9065170288086
2.75,105.35736846923828
2.8,106.82288360595703
2.85,108.30162048339844
2.9,109.79794311523438
2.95,111.3031997680664
3.0,112.81993865966797
3.05,114.3458023071289
3.1,115.88089752197266
3.15,117.42625427246094
3.2,118.9833984375
3.25,120.54817199707031
3.3,122.11830139160156
3.35,123.70074462890625
3.4,125.2930908203125
3.45,126.89212799072266
3.5,128.50033569335938
3.55,130.12184143066406
3.6,131.76171875
3.65,133.4175262451172
3.7,135.08453369140625
3.75,136.7655792236328
3.8,138.45509338378906
3.85,140.15748596191406
3.9,141.8730926513672
3.95,143.5967254638672
4.0,145.33209228515625
4.05,147.07200622558594
4.1,148.81781005859375
4.15,150.5717315673828
4.2,152.33502197265625
4.25,154.10794067382812
4.3,155.88998413085938
4.35,157.6827392578125
4.4,159.48580932617188
4.45,161.2911376953125
4.5,163.0982208251953
4.55,164.91043090820312
4.6,166.7211456298828
4.65,168.53810119628906
4.7,170.36077880859375
4.75,172.18515014648438
4.8,174.01287841796875
4.85,175.84518432617188
4.9,177.6781005859375
4.95,179.51414489746094
5.0,181.3516387939453
5.1,185.02647399902344
5.2,188.70379638671875
5.3,192.38156127929688
5.4,196.06275939941406
5.5,199.73866271972656
5.6,203.40892028808594
5.7,207.0755157470703
5.8,210.730712890625
5.9,214.367431640625
6.0,217.97897338867188
6.1,221.5628662109375
6.2,225.1228485107422
6.3,228.6800079345703
6.4,232.23484802246094
6.5,235.76361083984375
6.6,239.2598876953125
6.7,242.72593688964844
6.8,246.16213989257812
6.9,249.558349609375
7.0,252.92100524902344
7.1,256.2513122558594
7.2,259.5513610839844
7.3,262.81640625
7.4,266.0474548339844
7.5,269.24468994140625
7.6,272.4210510253906
7.7,275.57562255859375
7.8,278.7119140625
7.9,281.8197326660156
8.0,284.89398193359375
8.1,287.9332580566406
8.2,290.9332275390625
8.3,293.89666748046875
8.4,296.83013916015625
8.5,299.7398986816406
8.6,302.61474609375
8.7,305.4560546875
8.8,308.2651672363281
8.9,311.04150390625
9.0,313.78131103515625
9.1,316.4817810058594
9.2,319.1510925292969
9.3,321.7893371582031
9.4,324.3960266113281
9.5,326.9711608886719
9.6,329.520751953125
9.7,332.0423583984375
9.8,334.5371398925781
9.9,337.0010070800781
10.0,339.4282531738281
